ticker,start_date,end_date
005740.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011690.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009200.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
013520.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
013360.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000157.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000910.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002410.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004960.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001260.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000590.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006090.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000230.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003780.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
013700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004870.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004910.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006660.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000220.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004540.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
021820.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002140.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014990.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007980.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014440.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004060.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017040.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
